epoch,loss,acc
1,3.230891227722168,0.166147381067276
2,2.3327202796936035,0.3461681604385376
3,1.8443855047225952,0.4680137038230896
4,1.6213533878326416,0.5241660475730896
5,1.4794678688049316,0.5482701063156128
6,1.3937960863113403,0.561259925365448
7,1.3358654975891113,0.5735599398612976
8,1.2845149040222168,0.5883556604385376
9,1.2414302825927734,0.5984622836112976
10,1.206285834312439,0.6087161898612976
11,1.1741890907287598,0.6172572374343872
12,1.142168402671814,0.625674307346344
13,1.114320158958435,0.6344091296195984
14,1.0871121883392334,0.642167329788208
15,1.061025619506836,0.6514912247657776
16,1.035721778869629,0.6590479016304016
17,1.0093698501586914,0.6697513461112976
18,0.982912003993988,0.6778428554534912
19,0.9600104689598083,0.6862444281578064
20,0.9382311701774597,0.6924370527267456
21,0.913825511932373,0.7014896273612976
22,0.8940909504890442,0.706426739692688
23,0.8721992373466492,0.7145492434501648
24,0.8525865077972412,0.7208814024925232
25,0.8342762589454651,0.7251673936843872
26,0.817203938961029,0.7308485507965088
27,0.7935280203819275,0.7393973469734192
28,0.7778295874595642,0.7444118857383728
29,0.7582157254219055,0.751278817653656
30,0.7411118149757385,0.7561073899269104
31,0.7235122919082642,0.7614474892616272
32,0.7124980688095093,0.765702486038208
33,0.6969954371452332,0.771073579788208
34,0.6849411129951477,0.774491548538208
35,0.6680598258972168,0.7804129719734192
36,0.6532713174819946,0.7846059799194336
37,0.639788806438446,0.7888919711112976
38,0.6293666362762451,0.7925269603729248
39,0.6154147982597351,0.7962471842765808
40,0.5999151468276978,0.8018430471420288
41,0.5883516669273376,0.805888831615448
42,0.5796624422073364,0.8089269995689392
43,0.5690421462059021,0.811259925365448
44,0.557283341884613,0.8156622052192688
45,0.5469461679458618,0.8186383843421936
46,0.5383638143539429,0.8213897943496704
47,0.5290685296058655,0.826094388961792
48,0.5173472762107849,0.828427255153656
49,0.5092611312866211,0.8317832350730896
50,0.4989047944545746,0.8343021273612976
51,0.49265819787979126,0.8360382318496704
52,0.4812668561935425,0.8407970666885376
53,0.47441235184669495,0.84243243932724
54,0.46591880917549133,0.8452070951461792
55,0.4602375328540802,0.8461991548538208
56,0.44858431816101074,0.8499736189842224
57,0.4430570900440216,0.852841317653656
58,0.43635204434394836,0.8543371558189392
59,0.42731451988220215,0.8564763069152832
60,0.42336758971214294,0.858925461769104
61,0.41651421785354614,0.8610413670539856
